artista,pos,cuenta
residente,sustantivo,111
residente,verbo,48
residente,adjetivo,22
residente,nombre propio,21
residente,adverbio,12
residente,pronombre,8
residente,adposición,7
residente,determinador,7
residente,conj. subordinada,6
residente,auxiliar,4
residente,numeral,1
nach,sustantivo,90
nach,verbo,62
nach,adjetivo,32
nach,nombre propio,24
nach,adverbio,11
nach,determinador,10
nach,auxiliar,6
nach,pronombre,5
nach,conj. subordinada,4
nach,adposición,2
nach,numeral,1
nach,conjunción,1
